日付,店舗,商品カテゴリ,商品名,数量,単価,金額
2025-02-19,渋谷店,フード,サンドイッチ,2,600,1200
2025-02-20,渋谷店,ドリンク,紅茶,5,400,2000
2025-02-20,新宿店,デザート,ケーキ,5,550,2750
2025-02-21,大宮店,フード,サンドイッチ,4,600,2400
2025-02-22,渋谷店,ドリンク,コーヒー,3,450,1350
2025-02-22,池袋店,ドリンク,ジュース,2,350,700
2025-02-24,池袋店,デザート,ケーキ,5,550,2750
2025-02-24,大宮店,ドリンク,紅茶,1,400,400
2025-02-25,新宿店,ドリンク,紅茶,3,400,1200
2025-02-25,大宮店,デザート,プリン,1,380,380
2025-02-25,横浜店,フード,カレー,5,900,4500
2025-02-26,横浜店,デザート,プリン,1,380,380
2025-02-27,池袋店,フード,カレー,3,900,2700
2025-02-28,池袋店,フード,カレー,3,900,2700
2025-02-28,渋谷店,デザート,プリン,2,380,760
2025-03-01,新宿店,デザート,プリン,4,380,1520
2025-03-02,新宿店,フード,カレー,5,900,4500
2025-03-02,新宿店,ドリンク,ジュース,3,350,1050
2025-03-02,横浜店,ドリンク,コーヒー,2,450,900
2025-03-03,新宿店,フード,カレー,4,900,3600
2025-03-04,新宿店,フード,カレー,2,900,1800
2025-03-04,池袋店,フード,サンドイッチ,4,600,2400
2025-03-06,渋谷店,デザート,プリン,1,380,380
2025-03-07,新宿店,デザート,プリン,5,380,1900
2025-03-08,大宮店,ドリンク,ジュース,3,350,1050
2025-03-09,池袋店,ドリンク,紅茶,4,400,1600
2025-03-09,大宮店,デザート,プリン,5,380,1900
2025-03-11,横浜店,ドリンク,コーヒー,5,450,2250
2025-03-11,渋谷店,デザート,プリン,2,380,760
2025-03-14,新宿店,ドリンク,紅茶,1,400,400
2025-03-14,渋谷店,デザート,プリン,1,380,380
2025-03-15,池袋店,フード,カレー,4,900,3600
2025-03-16,新宿店,フード,パスタ,4,950,3800
2025-03-16,新宿店,フード,サンドイッチ,3,600,1800
2025-03-17,横浜店,フード,カレー,5,900,4500
2025-03-17,渋谷店,フード,パスタ,2,950,1900
2025-03-18,池袋店,フード,パスタ,5,950,4750
2025-03-18,池袋店,デザート,プリン,4,380,1520
2025-03-19,横浜店,フード,カレー,3,900,2700
2025-03-20,横浜店,デザート,プリン,3,380,1140
2025-03-20,横浜店,デザート,ケーキ,5,550,2750
2025-03-20,池袋店,ドリンク,コーヒー,5,450,2250
2025-03-20,新宿店,デザート,プリン,3,380,1140
2025-03-22,渋谷店,フード,カレー,5,900,4500
2025-03-22,横浜店,ドリンク,紅茶,3,400,1200
2025-03-22,池袋店,フード,パスタ,3,950,2850
2025-03-22,大宮店,ドリンク,コーヒー,2,450,900
2025-03-23,横浜店,フード,カレー,4,900,3600
2025-03-24,横浜店,フード,サンドイッチ,3,600,1800
2025-03-24,池袋店,フード,カレー,1,900,900
2025-03-24,池袋店,ドリンク,紅茶,1,400,400
2025-03-25,横浜店,フード,カレー,3,900,2700
2025-03-27,池袋店,デザート,ケーキ,4,550,2200
2025-03-28,池袋店,デザート,プリン,4,380,1520
2025-03-28,新宿店,デザート,ケーキ,4,550,2200
2025-03-30,横浜店,デザート,プリン,3,380,1140
2025-03-31,渋谷店,ドリンク,ジュース,3,350,1050
2025-04-01,大宮店,ドリンク,紅茶,2,400,800
2025-04-01,大宮店,デザート,ケーキ,4,550,2200
2025-04-03,新宿店,フード,パスタ,1,950,950
2025-04-03,大宮店,フード,サンドイッチ,2,600,1200
2025-04-03,大宮店,ドリンク,紅茶,5,400,2000
2025-04-05,渋谷店,フード,パスタ,3,950,2850
2025-04-06,池袋店,ドリンク,紅茶,4,400,1600
2025-04-06,渋谷店,デザート,プリン,3,380,1140
2025-04-08,渋谷店,ドリンク,紅茶,4,400,1600
2025-04-08,池袋店,デザート,プリン,2,380,760
2025-04-08,大宮店,デザート,ケーキ,4,550,2200
2025-04-09,池袋店,フード,サンドイッチ,1,600,600
2025-04-10,横浜店,フード,カレー,5,900,4500
2025-04-10,池袋店,デザート,プリン,1,380,380
2025-04-10,池袋店,ドリンク,紅茶,4,400,1600
2025-04-13,新宿店,デザート,プリン,2,380,760
2025-04-13,大宮店,デザート,プリン,2,380,760
2025-04-15,池袋店,デザート,プリン,3,380,1140
2025-04-16,渋谷店,デザート,ケーキ,2,550,1100
2025-04-19,横浜店,ドリンク,ジュース,3,350,1050
2025-04-20,大宮店,フード,カレー,4,900,3600
2025-04-20,横浜店,フード,パスタ,4,950,3800
2025-04-21,横浜店,ドリンク,ジュース,5,350,1750
2025-04-21,新宿店,ドリンク,コーヒー,3,450,1350
2025-04-21,大宮店,デザート,プリン,2,380,760
2025-04-22,渋谷店,フード,サンドイッチ,5,600,3000
2025-04-23,渋谷店,デザート,ケーキ,5,550,2750
2025-04-23,池袋店,デザート,ケーキ,4,550,2200
2025-04-24,池袋店,フード,カレー,3,900,2700
2025-04-25,渋谷店,ドリンク,ジュース,4,350,1400
2025-04-25,渋谷店,フード,サンドイッチ,3,600,1800
2025-04-26,新宿店,フード,サンドイッチ,5,600,3000
2025-04-26,新宿店,ドリンク,コーヒー,5,450,2250
2025-04-28,渋谷店,ドリンク,ジュース,1,350,350
2025-04-28,大宮店,デザート,プリン,3,380,1140
2025-04-28,新宿店,フード,カレー,4,900,3600
2025-04-29,池袋店,フード,パスタ,1,950,950
2025-04-29,大宮店,ドリンク,ジュース,5,350,1750
2025-04-29,渋谷店,ドリンク,コーヒー,4,450,1800
2025-04-30,池袋店,ドリンク,ジュース,2,350,700
2025-04-30,大宮店,フード,カレー,4,900,3600
2025-04-30,大宮店,ドリンク,ジュース,3,350,1050
2025-05-01,池袋店,ドリンク,ジュース,3,350,1050
2025-05-01,横浜店,ドリンク,紅茶,4,400,1600
2025-05-02,新宿店,デザート,ケーキ,1,550,550
2025-05-03,横浜店,フード,サンドイッチ,1,600,600
2025-05-04,横浜店,デザート,ケーキ,1,550,550
2025-05-04,渋谷店,フード,サンドイッチ,3,600,1800
2025-05-05,横浜店,フード,パスタ,4,950,3800
2025-05-05,横浜店,ドリンク,紅茶,1,400,400
2025-05-05,新宿店,フード,パスタ,5,950,4750
2025-05-05,大宮店,ドリンク,ジュース,5,350,1750
2025-05-06,新宿店,デザート,ケーキ,5,550,2750
2025-05-07,横浜店,デザート,ケーキ,1,550,550
2025-05-07,池袋店,デザート,プリン,2,380,760
2025-05-07,渋谷店,ドリンク,ジュース,3,350,1050
2025-05-08,渋谷店,フード,サンドイッチ,5,600,3000
2025-05-10,渋谷店,デザート,プリン,3,380,1140
2025-05-11,池袋店,フード,サンドイッチ,2,600,1200
2025-05-11,渋谷店,デザート,ケーキ,4,550,2200
2025-05-11,新宿店,ドリンク,紅茶,2,400,800
2025-05-12,新宿店,ドリンク,コーヒー,2,450,900
2025-05-12,横浜店,フード,カレー,3,900,2700
2025-05-13,池袋店,フード,サンドイッチ,3,600,1800
2025-05-14,新宿店,フード,サンドイッチ,1,600,600
2025-05-14,横浜店,デザート,ケーキ,3,550,1650
2025-05-16,池袋店,ドリンク,紅茶,2,400,800
2025-05-18,渋谷店,ドリンク,紅茶,4,400,1600
2025-05-18,池袋店,フード,パスタ,5,950,4750
2025-05-19,池袋店,フード,カレー,4,900,3600
2025-05-20,横浜店,ドリンク,ジュース,1,350,350
2025-05-20,渋谷店,ドリンク,ジュース,3,350,1050
2025-05-21,新宿店,デザート,ケーキ,1,550,550
2025-05-21,横浜店,デザート,プリン,2,380,760
2025-05-21,新宿店,ドリンク,ジュース,5,350,1750
2025-05-21,渋谷店,ドリンク,紅茶,3,400,1200
2025-05-21,大宮店,ドリンク,コーヒー,5,450,2250
2025-05-22,大宮店,ドリンク,コーヒー,4,450,1800
2025-05-22,横浜店,デザート,ケーキ,1,550,550
2025-05-22,新宿店,ドリンク,ジュース,1,350,350
2025-05-22,新宿店,フード,パスタ,2,950,1900
2025-05-23,横浜店,ドリンク,コーヒー,4,450,1800
2025-05-24,渋谷店,フード,カレー,4,900,3600
2025-05-25,横浜店,デザート,プリン,4,380,1520
2025-05-25,横浜店,フード,サンドイッチ,1,600,600
2025-05-26,横浜店,ドリンク,コーヒー,5,450,2250
2025-05-26,大宮店,フード,パスタ,1,950,950
2025-05-27,池袋店,ドリンク,ジュース,2,350,700
2025-05-27,横浜店,ドリンク,紅茶,1,400,400
2025-05-28,横浜店,フード,カレー,5,900,4500
2025-05-28,横浜店,フード,カレー,4,900,3600
2025-05-28,横浜店,フード,カレー,2,900,1800
2025-05-28,大宮店,デザート,ケーキ,4,550,2200
2025-05-28,新宿店,デザート,プリン,1,380,380
2025-05-28,渋谷店,フード,カレー,3,900,2700
2025-05-29,渋谷店,ドリンク,ジュース,2,350,700
2025-05-31,大宮店,フード,サンドイッチ,5,600,3000
2025-05-31,新宿店,デザート,プリン,1,380,380
2025-06-01,池袋店,デザート,ケーキ,1,550,550
2025-06-01,池袋店,ドリンク,紅茶,4,400,1600
2025-06-02,池袋店,デザート,プリン,2,380,760
2025-06-03,渋谷店,ドリンク,ジュース,5,350,1750
2025-06-03,横浜店,デザート,プリン,5,380,1900
2025-06-04,渋谷店,ドリンク,紅茶,2,400,800
2025-06-05,渋谷店,ドリンク,コーヒー,5,450,2250
2025-06-07,新宿店,ドリンク,コーヒー,3,450,1350
2025-06-08,横浜店,デザート,プリン,5,380,1900
2025-06-08,横浜店,デザート,ケーキ,1,550,550
2025-06-09,大宮店,ドリンク,ジュース,2,350,700
2025-06-10,渋谷店,デザート,プリン,5,380,1900
2025-06-10,新宿店,ドリンク,紅茶,5,400,2000
2025-06-10,横浜店,ドリンク,コーヒー,4,450,1800
2025-06-11,池袋店,ドリンク,コーヒー,1,450,450
2025-06-11,渋谷店,デザート,ケーキ,2,550,1100
2025-06-12,横浜店,ドリンク,紅茶,1,400,400
2025-06-12,渋谷店,デザート,ケーキ,2,550,1100
2025-06-12,横浜店,デザート,ケーキ,4,550,2200
2025-06-13,新宿店,フード,サンドイッチ,4,600,2400
2025-06-14,池袋店,フード,サンドイッチ,5,600,3000
2025-06-15,横浜店,デザート,ケーキ,5,550,2750
2025-06-15,新宿店,ドリンク,コーヒー,4,450,1800
2025-06-16,新宿店,フード,サンドイッチ,4,600,2400
2025-06-16,横浜店,デザート,ケーキ,5,550,2750
2025-06-17,大宮店,デザート,ケーキ,2,550,1100
2025-06-18,大宮店,デザート,プリン,1,380,380
2025-06-19,横浜店,ドリンク,コーヒー,4,450,1800
2025-06-19,新宿店,フード,サンドイッチ,1,600,600
2025-06-19,横浜店,デザート,プリン,5,380,1900
2025-06-20,新宿店,デザート,ケーキ,1,550,550
2025-06-20,池袋店,ドリンク,紅茶,2,400,800
2025-06-22,大宮店,デザート,プリン,5,380,1900
2025-06-23,大宮店,ドリンク,紅茶,3,400,1200
2025-06-23,大宮店,ドリンク,紅茶,3,400,1200
2025-06-24,池袋店,ドリンク,コーヒー,4,450,1800
2025-06-24,大宮店,フード,パスタ,2,950,1900
2025-06-25,渋谷店,ドリンク,紅茶,1,400,400
2025-06-26,大宮店,フード,サンドイッチ,3,600,1800
2025-06-26,大宮店,ドリンク,コーヒー,4,450,1800
2025-06-26,新宿店,フード,パスタ,5,950,4750
2025-06-26,横浜店,ドリンク,紅茶,3,400,1200
2025-06-26,新宿店,デザート,プリン,4,380,1520
2025-06-28,渋谷店,デザート,プリン,2,380,760
2025-06-29,新宿店,デザート,ケーキ,3,550,1650
2025-06-29,池袋店,ドリンク,ジュース,2,350,700
2025-06-30,大宮店,フード,カレー,1,900,900
2025-06-30,大宮店,フード,パスタ,1,950,950
2025-07-01,横浜店,ドリンク,ジュース,4,350,1400
2025-07-01,横浜店,デザート,ケーキ,4,550,2200
2025-07-01,池袋店,デザート,プリン,5,380,1900
2025-07-04,渋谷店,デザート,プリン,3,380,1140
2025-07-05,大宮店,ドリンク,コーヒー,5,450,2250
2025-07-05,池袋店,デザート,プリン,1,380,380
2025-07-05,横浜店,ドリンク,ジュース,3,350,1050
2025-07-06,渋谷店,ドリンク,コーヒー,3,450,1350
2025-07-07,渋谷店,デザート,プリン,5,380,1900
2025-07-08,横浜店,フード,カレー,5,900,4500
2025-07-08,大宮店,デザート,ケーキ,3,550,1650
2025-07-09,池袋店,デザート,プリン,2,380,760
2025-07-11,新宿店,デザート,ケーキ,2,550,1100
2025-07-11,新宿店,ドリンク,紅茶,5,400,2000
2025-07-11,横浜店,フード,カレー,5,900,4500
2025-07-11,横浜店,ドリンク,コーヒー,4,450,1800
2025-07-12,横浜店,ドリンク,紅茶,5,400,2000
2025-07-13,横浜店,フード,カレー,5,900,4500
2025-07-13,大宮店,ドリンク,紅茶,4,400,1600
2025-07-14,横浜店,デザート,ケーキ,5,550,2750
2025-07-14,新宿店,ドリンク,ジュース,5,350,1750
2025-07-14,新宿店,ドリンク,紅茶,2,400,800
2025-07-15,渋谷店,フード,サンドイッチ,1,600,600
2025-07-16,横浜店,フード,パスタ,2,950,1900
2025-07-18,横浜店,フード,パスタ,3,950,2850
2025-07-19,池袋店,フード,パスタ,1,950,950
2025-07-23,新宿店,フード,カレー,4,900,3600
2025-07-23,池袋店,デザート,プリン,1,380,380
2025-07-23,渋谷店,デザート,プリン,1,380,380
2025-07-23,池袋店,ドリンク,ジュース,3,350,1050
2025-07-24,池袋店,デザート,プリン,5,380,1900
2025-07-24,池袋店,デザート,ケーキ,3,550,1650
2025-07-24,大宮店,フード,カレー,5,900,4500
2025-07-24,横浜店,フード,パスタ,4,950,3800
2025-07-25,渋谷店,フード,パスタ,1,950,950
2025-07-26,渋谷店,ドリンク,ジュース,2,350,700
2025-07-26,大宮店,フード,パスタ,1,950,950
2025-07-27,横浜店,デザート,プリン,5,380,1900
2025-07-29,池袋店,ドリンク,紅茶,3,400,1200
2025-07-29,新宿店,フード,サンドイッチ,2,600,1200
2025-07-30,新宿店,ドリンク,ジュース,3,350,1050
2025-07-30,横浜店,デザート,プリン,5,380,1900
2025-07-30,大宮店,ドリンク,紅茶,2,400,800
2025-07-31,渋谷店,ドリンク,コーヒー,2,450,900
2025-07-31,新宿店,デザート,ケーキ,1,550,550
2025-07-31,横浜店,フード,サンドイッチ,3,600,1800
2025-08-01,横浜店,デザート,ケーキ,1,550,550
2025-08-01,渋谷店,フード,カレー,4,900,3600
2025-08-02,大宮店,ドリンク,コーヒー,5,450,2250
2025-08-02,新宿店,デザート,ケーキ,2,550,1100
2025-08-03,大宮店,フード,パスタ,5,950,4750
2025-08-03,新宿店,フード,パスタ,5,950,4750
2025-08-04,池袋店,フード,パスタ,3,950,2850
2025-08-04,横浜店,デザート,プリン,1,380,380
2025-08-04,大宮店,フード,サンドイッチ,2,600,1200
2025-08-05,新宿店,フード,カレー,5,900,4500
2025-08-05,大宮店,フード,パスタ,3,950,2850
2025-08-07,池袋店,デザート,ケーキ,3,550,1650
2025-08-07,大宮店,ドリンク,ジュース,4,350,1400
2025-08-08,池袋店,フード,パスタ,5,950,4750
2025-08-08,渋谷店,デザート,ケーキ,3,550,1650
2025-08-09,渋谷店,デザート,ケーキ,3,550,1650
2025-08-09,大宮店,フード,パスタ,2,950,1900
2025-08-10,池袋店,ドリンク,ジュース,1,350,350
2025-08-10,大宮店,デザート,ケーキ,2,550,1100
2025-08-11,渋谷店,ドリンク,ジュース,1,350,350
2025-08-12,大宮店,フード,パスタ,3,950,2850
2025-08-12,横浜店,フード,サンドイッチ,5,600,3000
2025-08-12,渋谷店,フード,カレー,2,900,1800
2025-08-14,横浜店,フード,パスタ,4,950,3800
2025-08-14,横浜店,デザート,ケーキ,2,550,1100
2025-08-15,横浜店,デザート,プリン,4,380,1520
2025-08-16,横浜店,デザート,プリン,2,380,760
2025-08-16,大宮店,フード,カレー,2,900,1800
2025-08-16,池袋店,ドリンク,コーヒー,3,450,1350
2025-08-17,大宮店,デザート,プリン,3,380,1140
2025-08-17,大宮店,ドリンク,ジュース,1,350,350
2025-08-18,新宿店,ドリンク,コーヒー,5,450,2250
2025-08-19,新宿店,ドリンク,コーヒー,3,450,1350
2025-08-19,大宮店,ドリンク,コーヒー,4,450,1800
2025-08-19,大宮店,ドリンク,紅茶,5,400,2000
2025-08-19,池袋店,フード,カレー,1,900,900
2025-08-19,横浜店,フード,サンドイッチ,3,600,1800
2025-08-20,新宿店,デザート,ケーキ,4,550,2200
2025-08-20,渋谷店,ドリンク,紅茶,4,400,1600
2025-08-21,池袋店,フード,パスタ,2,950,1900
2025-08-21,渋谷店,デザート,プリン,3,380,1140
2025-08-21,大宮店,ドリンク,紅茶,3,400,1200
2025-08-22,大宮店,ドリンク,ジュース,4,350,1400
2025-08-22,池袋店,ドリンク,コーヒー,5,450,2250
2025-08-24,池袋店,フード,サンドイッチ,2,600,1200
2025-08-24,池袋店,ドリンク,紅茶,3,400,1200
2025-08-25,新宿店,フード,サンドイッチ,3,600,1800
2025-08-25,横浜店,ドリンク,ジュース,5,350,1750
2025-08-26,大宮店,ドリンク,ジュース,4,350,1400
2025-08-26,大宮店,ドリンク,コーヒー,3,450,1350
2025-08-26,渋谷店,ドリンク,紅茶,2,400,800
2025-08-27,池袋店,ドリンク,ジュース,1,350,350
2025-08-28,新宿店,デザート,プリン,2,380,760
2025-08-28,横浜店,ドリンク,紅茶,5,400,2000
2025-08-29,渋谷店,デザート,ケーキ,4,550,2200
2025-08-31,新宿店,デザート,ケーキ,5,550,2750
2025-08-31,渋谷店,ドリンク,コーヒー,2,450,900
2025-08-31,池袋店,デザート,プリン,5,380,1900
2025-08-31,大宮店,ドリンク,ジュース,3,350,1050
2025-08-31,新宿店,フード,サンドイッチ,5,600,3000
2025-09-01,横浜店,ドリンク,ジュース,1,350,350
2025-09-01,池袋店,ドリンク,ジュース,5,350,1750
2025-09-02,新宿店,ドリンク,紅茶,4,400,1600
2025-09-02,新宿店,ドリンク,コーヒー,2,450,900
2025-09-03,新宿店,フード,カレー,3,900,2700
2025-09-05,池袋店,ドリンク,紅茶,5,400,2000
2025-09-05,新宿店,フード,カレー,3,900,2700
2025-09-05,横浜店,ドリンク,ジュース,5,350,1750
2025-09-06,新宿店,ドリンク,コーヒー,3,450,1350
2025-09-08,新宿店,ドリンク,コーヒー,5,450,2250
2025-09-09,横浜店,フード,パスタ,1,950,950
2025-09-10,渋谷店,ドリンク,コーヒー,5,450,2250
2025-09-10,横浜店,フード,カレー,5,900,4500
2025-09-10,渋谷店,ドリンク,コーヒー,3,450,1350
2025-09-10,新宿店,フード,パスタ,3,950,2850
2025-09-12,横浜店,フード,サンドイッチ,1,600,600
2025-09-14,池袋店,デザート,プリン,5,380,1900
2025-09-14,新宿店,フード,カレー,4,900,3600
2025-09-14,池袋店,デザート,ケーキ,1,550,550
2025-09-15,大宮店,フード,サンドイッチ,2,600,1200
2025-09-16,大宮店,ドリンク,コーヒー,2,450,900
2025-09-16,横浜店,デザート,プリン,2,380,760
2025-09-16,新宿店,ドリンク,コーヒー,5,450,2250
2025-09-17,新宿店,フード,サンドイッチ,5,600,3000
2025-09-17,大宮店,ドリンク,ジュース,5,350,1750
2025-09-18,池袋店,フード,カレー,3,900,2700
2025-09-20,渋谷店,フード,パスタ,2,950,1900
2025-09-20,横浜店,フード,パスタ,3,950,2850
2025-09-21,新宿店,ドリンク,紅茶,1,400,400
2025-09-21,大宮店,デザート,ケーキ,3,550,1650
2025-09-21,新宿店,フード,サンドイッチ,5,600,3000
2025-09-23,横浜店,デザート,ケーキ,4,550,2200
2025-09-26,池袋店,ドリンク,ジュース,1,350,350
2025-09-26,池袋店,ドリンク,紅茶,4,400,1600
2025-09-26,新宿店,ドリンク,コーヒー,1,450,450
2025-09-27,渋谷店,ドリンク,ジュース,5,350,1750
2025-09-27,池袋店,ドリンク,コーヒー,5,450,2250
2025-09-28,池袋店,フード,カレー,4,900,3600
2025-09-30,新宿店,デザート,プリン,1,380,380
2025-09-30,新宿店,ドリンク,コーヒー,4,450,1800
2025-10-01,渋谷店,デザート,プリン,5,380,1900
2025-10-02,渋谷店,フード,サンドイッチ,4,600,2400
2025-10-02,渋谷店,フード,サンドイッチ,3,600,1800
2025-10-02,渋谷店,デザート,プリン,3,380,1140
2025-10-03,池袋店,ドリンク,コーヒー,5,450,2250
2025-10-03,新宿店,デザート,ケーキ,1,550,550
2025-10-03,大宮店,フード,パスタ,4,950,3800
2025-10-03,横浜店,デザート,プリン,5,380,1900
2025-10-04,渋谷店,ドリンク,紅茶,1,400,400
2025-10-05,渋谷店,ドリンク,コーヒー,5,450,2250
2025-10-05,渋谷店,フード,パスタ,4,950,3800
2025-10-05,渋谷店,フード,パスタ,1,950,950
2025-10-06,大宮店,ドリンク,コーヒー,3,450,1350
2025-10-07,渋谷店,ドリンク,ジュース,2,350,700
2025-10-08,渋谷店,デザート,プリン,4,380,1520
2025-10-09,新宿店,ドリンク,ジュース,4,350,1400
2025-10-09,池袋店,デザート,プリン,4,380,1520
2025-10-09,大宮店,デザート,プリン,1,380,380
2025-10-10,渋谷店,ドリンク,コーヒー,2,450,900
2025-10-10,新宿店,デザート,プリン,4,380,1520
2025-10-10,横浜店,ドリンク,コーヒー,5,450,2250
2025-10-11,新宿店,フード,パスタ,3,950,2850
2025-10-11,池袋店,デザート,ケーキ,3,550,1650
2025-10-12,渋谷店,フード,カレー,3,900,2700
2025-10-12,横浜店,デザート,ケーキ,4,550,2200
2025-10-12,大宮店,フード,パスタ,5,950,4750
2025-10-13,横浜店,ドリンク,紅茶,1,400,400
2025-10-13,大宮店,デザート,プリン,4,380,1520
2025-10-15,池袋店,フード,サンドイッチ,5,600,3000
2025-10-15,池袋店,ドリンク,ジュース,5,350,1750
2025-10-15,大宮店,デザート,ケーキ,4,550,2200
2025-10-15,渋谷店,ドリンク,紅茶,5,400,2000
2025-10-15,池袋店,ドリンク,ジュース,3,350,1050
2025-10-16,新宿店,ドリンク,紅茶,2,400,800
2025-10-18,大宮店,フード,カレー,3,900,2700
2025-10-18,大宮店,ドリンク,コーヒー,3,450,1350
2025-10-18,新宿店,デザート,プリン,3,380,1140
2025-10-19,新宿店,フード,サンドイッチ,4,600,2400
2025-10-20,横浜店,フード,サンドイッチ,2,600,1200
2025-10-20,池袋店,ドリンク,コーヒー,4,450,1800
2025-10-20,新宿店,デザート,ケーキ,4,550,2200
2025-10-20,横浜店,デザート,プリン,2,380,760
2025-10-20,横浜店,デザート,プリン,2,380,760
2025-10-21,渋谷店,デザート,ケーキ,1,550,550
2025-10-22,新宿店,デザート,ケーキ,5,550,2750
2025-10-23,横浜店,ドリンク,ジュース,5,350,1750
2025-10-23,新宿店,デザート,ケーキ,4,550,2200
2025-10-23,渋谷店,デザート,ケーキ,3,550,1650
2025-10-24,渋谷店,ドリンク,紅茶,1,400,400
2025-10-24,横浜店,デザート,プリン,5,380,1900
2025-10-24,池袋店,フード,パスタ,1,950,950
2025-10-25,大宮店,デザート,プリン,4,380,1520
2025-10-25,新宿店,デザート,ケーキ,5,550,2750
2025-10-26,新宿店,デザート,ケーキ,4,550,2200
